Sample_name	tissue	cellType	sortingMarkers
ILC3.NKp46pos.SI_rep2	Lamina_Propia	Innate_Lymphocytes	CD45lo__CD3-CD19-_NK1.1-_Thy1+_NKp46+_CCR6-
LEC.SLN_rep2	Subcutaneous_Lymph_Node	Stromal_Cells	CD45-_CD31+_PDPN+
LEC.SLN_rep3	Subcutaneous_Lymph_Node	Stromal_Cells	CD45-_CD31+_PDPN+
LTHSC.34neg.BM_rep2	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150+CD48-CD34-
LTHSC.34neg.BM_rep1	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150+CD48-CD34-
LTHSC.34pos.BM_rep1	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150+CD48-CD34+
LTHSC.34pos.BM_rep2	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150+CD48-CD34+
MC.heparinase.PC_rep3	Peritoneal_Cavity	Mast_Cells	CD45+[CD11b-CD11c-][CD19-CD4-CD8-]CD117+FcEr1a+
MF.Alv.Lu_rep1	Lung	Macrophages	CD45+_CD11c+_SiglecF+
MF.Alv.Lu_rep2	Lung	Macrophages	CD45+_CD11c+_SiglecF+
MF.Fem.PC_rep1	Peritoneal_Cavity	Macrophages	F4/80+ICAM2+CD5-CD19-CD43-
MF.Fem.PC_rep2	Peritoneal_Cavity	Macrophages	F4/80+ICAM2+CD5-CD19-CD43-
MF.PC_rep3	Peritoneal_Cavity	Macrophages	F4/80+ICAM2+CD5-CD19-CD43-
MF.PC_rep4	Peritoneal_Cavity	Macrophages	F4/80+ICAM2+CD5-CD19-CD43-
MF.pIC.Alv.Lu_rep2	Lung	Macrophages	CD45+_CD11c+_SiglecF+
MMP2.150pos48pos.BM_rep1	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150-CD48+
MMP3.48pos.BM_rep1	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150-CD48+
MMP3.48pos.BM_rep2	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135-CD150-CD48+
MMP4.135pos.BM_rep1	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135+
MMP4.135pos.BM_rep2	Bone_Marrow	Stem_Cells	Lin-Sca1+ckit+CD135+
NK.27neg11bpos.BM_rep1	Bone_Marrow	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27-
NK.27neg11bpos.BM_rep2	Bone_Marrow	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27-
NK.27neg11bpos.Sp_rep2	Spleen	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27-
NK.27pos11bneg.BM_rep1	Bone_Marrow	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b-CD27+
NK.27pos11bneg.BM_rep2	Bone_Marrow	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b-CD27+
NK.27pos11bneg.Sp_rep1	Spleen	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b-CD27+
NK.27pos11bneg.Sp_rep2	Spleen	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b-CD27+
NK.27pos11bpos.BM_rep1	Bone_Marrow	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27+
NK.27pos11bpos.BM_rep2	Bone_Marrow	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27+
NK.27pos11bpos.Sp_rep1	Spleen	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27+
NK.27pos11bpos.Sp_rep2	Spleen	Innate_Lymphocytes	CD3-CD19-NK1.1+_CD127-CD51-CD49a-_DX5+CD11b+CD27+
NKT.Sp_rep3	Spleen	ab_T_cells	[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+
NKT.Sp.LPS.18hr_rep1	Spleen	ab_T_cells	[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+
NKT.Sp.LPS.18hr_rep2	Spleen	ab_T_cells	[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+
NKT.Sp.LPS.3d_rep2	Spleen	ab_T_cells	[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+
NKT.Sp.LPS.3hr_rep1	Spleen	ab_T_cells	[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+
NKT.Sp.LPS.3hr_rep2	Spleen	ab_T_cells	[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+
preT.DN1.Th_rep1	Thymus	ab_T_cells	Lin-(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)CD44hiCD117hiCD25-/lo
